City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Shingu,JP,33.72,135.99,78.8,61,20,5.82,1570417284
Carnarvon,ZA,-30.97,22.13,50.04,49,3,15.95,1570417611
Yellowknife,CA,62.45,-114.38,35.6,93,90,17.22,1570417611
San Policarpo,PH,12.18,125.51,83.1,79,94,7.47,1570417189
Comodoro Rivadavia,AR,-45.87,-67.48,50.0,71,75,21.92,1570417286
Torbay,CA,47.66,-52.73,44.01,86,20,6.93,1570417287
Avarua,CK,-21.21,-159.78,73.4,49,100,11.41,1570417432
Te Anau,NZ,-45.41,167.72,44.91,80,100,8.25,1570417614
Punta Arenas,CL,-53.16,-70.91,39.2,69,20,17.22,1570417614
Georgetown,GY,6.8,-58.16,77.0,94,20,4.7,1570417615
Albany,US,42.65,-73.75,64.4,82,90,10.29,1570417503
Atuona,PF,-9.8,-139.03,80.33,68,0,13.73,1570417616
Codrington,AU,-28.95,153.24,98.01,30,0,3.36,1570417616
Mataura,NZ,-46.19,168.86,63.0,47,90,11.99,1570417617
Hilo,US,19.71,-155.08,84.2,54,90,5.82,1570417617
Kahului,US,20.89,-156.47,84.2,58,20,10.29,1570417618
Cape Town,ZA,-33.93,18.42,59.0,93,75,4.7,1570417501
Rikitea,PF,-23.12,-134.97,73.74,86,100,11.32,1570417619
Lensk,RU,60.71,114.91,31.78,85,100,12.5,1570417619
Gazli,UZ,40.13,63.45,62.6,27,100,10.63,1570417620
Lata,IN,30.78,78.62,39.25,61,100,5.12,1570417621
Barrow,AR,-38.31,-60.23,61.34,40,97,21.18,1570417621
Nimes,FR,43.83,4.35,60.8,54,0,11.41,1570417622
Bluff,AU,-23.58,149.07,94.17,17,0,6.2,1570417622
Necochea,AR,-38.55,-58.74,60.01,57,67,21.0,1570417623
Tuktoyaktuk,CA,69.44,-133.03,32.0,93,90,13.87,1570417624
Nikolskoye,RU,59.7,30.79,33.01,95,0,2.24,1570417624
Midyat,TR,37.42,41.36,57.2,100,0,4.7,1570417625
Sitka,US,37.17,-99.65,51.01,70,0,5.99,1570417626
Okha,RU,53.59,142.95,52.29,63,100,17.29,1570417627
Karratha,AU,-20.74,116.85,103.46,7,34,11.1,1570417627
Hobart,AU,-42.88,147.33,59.0,44,75,8.05,1570417627
Yushu,CN,44.84,126.53,59.72,46,0,19.26,1570417628
Tiksi,RU,71.64,128.87,24.42,92,91,5.3,1570417329
Jinhua,CN,29.11,119.65,80.11,67,58,2.84,1570417629
Coaldale,CA,49.73,-112.62,51.8,43,40,20.8,1570417359
Dikson,RU,73.51,80.55,23.58,79,55,26.13,1570417630
Begoro,GH,6.38,-0.38,70.32,98,99,4.56,1570417630
Ushuaia,AR,-54.81,-68.31,35.6,80,40,28.86,1570417631
Tuatapere,NZ,-46.13,167.69,63.0,47,100,11.99,1570417631
Makaha,US,21.47,-158.22,82.4,78,90,8.05,1570417632
Lebu,ET,8.96,38.73,53.6,81,20,4.7,1570417633
Lorengau,PG,-2.02,147.27,83.8,77,28,8.23,1570417633
Preobrazheniye,RU,42.9,133.91,54.34,66,100,6.17,1570417633
Mahebourg,MU,-20.41,57.7,73.99,83,40,12.75,1570417634
Mukhen,RU,48.19,136.14,57.65,47,12,13.8,1570417634
Port Macquarie,AU,-31.43,152.91,104.0,53,21,13.87,1570417635
Sioux Lookout,CA,50.1,-91.92,46.4,81,90,11.41,1570417428
Souillac,FR,45.6,-0.6,52.0,93,0,7.54,1570417636
Manadhoo,MV,5.77,73.38,81.68,76,100,8.48,1570417636
Mar del Plata,AR,-46.43,-67.52,47.84,66,80,25.03,1570417637
Srednekolymsk,RU,67.46,153.71,20.77,77,0,7.02,1570417638
Sorland,NO,67.67,12.69,46.35,71,100,12.46,1570417459
Kiruna,SE,67.86,20.23,33.8,86,62,3.36,1570417639
Ribeira Grande,PT,38.52,-28.7,68.65,94,69,22.03,1570417640
Rome,IT,41.89,12.48,64.4,93,40,4.7,1570417641
Qandala,SO,11.47,49.87,84.67,75,0,3.31,1570417641
Evensk,RU,61.92,159.24,30.87,57,100,16.82,1570417642
Solnechnyy,RU,50.72,136.64,56.07,45,100,10.02,1570417642
Kavieng,PG,-2.57,150.8,83.59,75,1,14.09,1570417643
Medford,US,42.33,-122.87,62.6,58,1,2.01,1570417644
Cabo San Lucas,MX,22.89,-109.91,84.0,58,5,11.41,1570417385
Bambous Virieux,MU,-20.34,57.76,73.99,83,40,12.75,1570417645
Cherskiy,RU,68.75,161.3,19.54,79,15,3.51,1570417645
Busselton,AU,-33.64,115.35,70.0,36,3,8.16,1570417646
Saskylakh,RU,71.97,114.09,18.59,95,90,6.42,1570417646
Qaanaaq,GL,77.48,-69.36,19.87,77,100,17.16,1570417647
Lac du Bonnet,CA,50.25,-96.06,45.0,79,88,3.0,1570417648
New Norfolk,AU,-42.78,147.06,59.0,44,75,8.05,1570417648
Iqaluit,CA,63.75,-68.52,37.4,93,75,8.05,1570417649
Little Current,CA,45.98,-81.93,59.0,58,75,19.46,1570417649
Vardo,US,39.62,-77.74,68.0,93,90,4.45,1570417650
Freeport,BS,26.54,-78.7,80.91,80,84,20.71,1570417650
Puerto Ayora,EC,-0.74,-90.35,64.99,96,8,5.01,1570417651
Mangrol,IN,25.33,76.51,75.2,94,0,0.45,1570417651
Bethel,US,60.79,-161.76,44.6,56,75,9.17,1570417652
Mwingi,KE,-0.93,38.07,63.54,89,19,5.48,1570417652
Saint-Pierre,FR,48.95,4.24,53.6,100,75,12.75,1570417653
Husavik,CA,50.56,-96.99,45.0,79,48,3.0,1570417409
Artigas,BR,-30.4,-56.46,51.06,87,0,6.51,1570417653
Pitiquito,MX,30.68,-112.05,73.99,70,0,1.01,1570417654
Portland,US,43.66,-70.25,62.01,93,90,5.82,1570417204
Vanavara,RU,60.35,102.28,35.73,94,100,9.04,1570417655
Coahuayana,MX,18.62,-100.35,71.6,95,4,1.97,1570417655
Chuy,UY,-33.69,-53.46,54.95,90,0,8.3,1570417656
Fukue,JP,35.03,136.69,77.0,68,75,10.29,1570417656
Lagoa,PT,37.14,-8.45,69.01,77,0,4.7,1570417657
